1543798223.4222202,peer0.org3.example.com,4.52kB / 0B,4520,0.0
1543798223.4222202,peer0.org4.example.com,2.49kB / 0B,2490,0.0
1543798223.4222202,orderer.example.com,13kB / 1.89kB,13000,1890
1543798223.4222202,peer0.org1.example.com,5.43kB / 0B,5430,0.0
1543798223.4222202,peer0.org5.example.com,4.41kB / 0B,4410,0.0
1543798223.4222202,peer0.org2.example.com,5.21kB / 0B,5210,0.0

1543798225.4456997,peer0.org3.example.com,4.81kB / 0B,4810,0.0
1543798225.4456997,peer0.org4.example.com,3.26kB / 0B,3260,0.0
1543798225.4456997,orderer.example.com,13.9kB / 1.89kB,13900,1890
1543798225.4456997,peer0.org1.example.com,5.8kB / 0B,5800,0.0
1543798225.4456997,peer0.org5.example.com,4.7kB / 0B,4700,0.0
1543798225.4456997,peer0.org2.example.com,5.42kB / 0B,5420,0.0

1543798227.4741411,peer0.org3.example.com,5.4kB / 0B,5400,0.0
1543798227.4741411,peer0.org4.example.com,4.39kB / 0B,4390,0.0
1543798227.4741411,orderer.example.com,14.4kB / 1.89kB,14400,1890
1543798227.4741411,peer0.org1.example.com,6.23kB / 0B,6230,0.0
1543798227.4741411,peer0.org5.example.com,5.29kB / 0B,5290,0.0
1543798227.4741411,peer0.org2.example.com,6.01kB / 0B,6010,0.0

1543798229.4927754,peer0.org3.example.com,576kB / 5.09kB,576000,5090
1543798229.4927754,peer0.org4.example.com,5.87kB / 0B,5870,0.0
1543798229.4927754,orderer.example.com,27.8kB / 1.71MB,27800,1710000
1543798229.4927754,peer0.org1.example.com,576kB / 4.58kB,576000,4580
1543798229.4927754,peer0.org5.example.com,6.77kB / 0B,6770,0.0
1543798229.4927754,peer0.org2.example.com,576kB / 4.39kB,576000,4390

1543798231.5137649,peer0.org3.example.com,576kB / 5.26kB,576000,5260
1543798231.5137649,peer0.org4.example.com,575kB / 4.93kB,575000,4930
1543798231.5137649,orderer.example.com,34.9kB / 2.84MB,34900,2840000
1543798231.5137649,peer0.org1.example.com,577kB / 4.58kB,577000,4580
1543798231.5137649,peer0.org5.example.com,576kB / 5.19kB,576000,5190
